00LU               20181210                                                                                   
0601LUA0N       20190101000000100000120000 0000000130000000   
0601LUA0N       20190101000120100000005000 0000000130000106   
0601LUA0N       20190101000125100000005000 0000000130000102   
0601LUA0N       20190101000130100000005000 0000000130000098   
0601LUA0N       20190101000135100000005000 0000000130000095   
0601LUA0N       20190101000140100000005000 0000000130000091   
0601LUA0N       20190101000145100000005000 0000000130000088   
0601LUA0N       20190101000150100000005000 0000000130000085   
0601LUA0N       20190101000155100000005000 0000000130000083   
0601LUA0N       20190101000160100000005000 0000000140000086   
0601LUA0N       20190101000165100000005000 0000000150000090   
0601LUA0N       20190101000170100000005000 0000000150000087   
0601LUA0N       20190101000175100000005000 0000000160000090   
0601LUA0N       20190101000180100000005000 0000000180000099   
0601LUA0N       20190101000185100000005000 0000000190000101   
0601LUA0N       20190101000190100000005000 0000000210000109   
0601LUA0N       20190101000195100000005000 0000000220000111   
0601LUA0N       20190101000200100000005000 0000000240000119   
0601LUA0N       20190101000205100000005000 0000000270000130   
0601LUA0N       20190101000210100000005000 0000000300000141   
0601LUA0N       20190101000215100000005000 0000000340000156   
0601LUA0N       20190101000220100000005000 0000000390000175   
0601LUA0N       20190101000225100000005000 0000000440000193   
0601LUA0N       20190101000230100000005000 0000000500000215   
0601LUA0N       20190101000235100000005000 0000000560000236   
0601LUA0N       20190101000240100000005000 0000000620000256   
0601LUA0N       20190101000245100000005000 0000000690000279   
0601LUA0N       20190101000250100000005000 0000000750000297   
0601LUA0N       20190101000255100000005000 0000000820000318   
0601LUA0N       20190101000260100000005000 0000000890000339   
0601LUA0N       20190101000265100000005000 0000000950000355   
0601LUA0N       20190101000270100000005000 0000001020000374   
0601LUA0N       20190101000275100000005000 0000001090000393   
0601LUA0N       20190101000280100000005000 0000001160000411   
0601LUA0N       20190101000285100000005000 0000001230000428   
0601LUA0N       20190101000290100000005000 0000001300000444   
0601LUA0N       20190101000295100000005000 0000001380000464   
0601LUA0N       20190101000300100000005000 0000001450000479   
0601LUA0N       20190101000305100000005000 0000001530000498   
0601LUA0N       20190101000310100000005000 0000001610000515   
0601LUA0N       20190101000315100000005000 0000001680000529   
0601LUA0N       20190101000320100000005000 0000001760000546   
0601LUA0N       20190101000325100000005000 0000001840000562   
0601LUA0N       20190101000330100000005000 0000001910000574   
0601LUA0N       20190101000335100000005000 0000001990000590   
0601LUA0N       20190101000340100000005000 0000002080000607   
0601LUA0N       20190101000345100000005000 0000002160000622   
0601LUA0N       20190101000350100000005000 0000002240000635   
0601LUA0N       20190101000355100000005000 0000002310000646   
0601LUA0N       20190101000360100000005000 0000002390000659   
0601LUA0N       20190101000365100000005000 0000002470000672   
0601LUA0N       20190101000370100000005000 0000002540000682   
0601LUA0N       20190101000375100000005000 0000002620000694   
0601LUA0N       20190101000380100000005000 0000002700000706   
0601LUA0N       20190101000385100000005000 0000002780000717   
0601LUA0N       20190101000390100000005000 0000002850000726   
0601LUA0N       20190101000395100000005000 0000002930000737   
0601LUA0N       20190101000400100000005000 0000003010000748   
0601LUA0N       20190101000405100000005000 0000003090000758   
0601LUA0N       20190101000410100000005000 0000003160000766   
0601LUA0N       20190101000415100000005000 0000003240000776   
0601LUA0N       20190101000420100000005000 0000003320000786   
0601LUA0N       20190101000425100000005000 0000003400000795   
0601LUA0N       20190101000430100000005000 0000003470000802   
0601LUA0N       20190101000435100000005000 0000003550000811   
0601LUA0N       20190101000440100000005000 0000003630000820   
0601LUA0N       20190101000445100000005000 0000003700000827   
0601LUA0N       20190101000450100000005000 0000003780000835   
0601LUA0N       20190101000455100000005000 0000003860000844   
0601LUA0N       20190101000460100000005000 0000003940000852   
0601LUA0N       20190101000465100000005000 0000004010000858   
0601LUA0N       20190101000470100000005000 0000004100000868   
0601LUA0N       20190101000475100000005000 0000004200000880   
0601LUA0N       20190101000480100000005000 0000004280000887   
0601LUA0N       20190101000485100000005000 0000004370000896   
0601LUA0N       20190101000490100000005000 0000004450000904   
0601LUA0N       20190101000495100000005000 0000004540000913   
0601LUA0N       20190101000500100000005000 0000004620000919   
