00AR               20191119                                                                                   
0601ARA0N       20200101000000100000115000 0000000030000026   
0601ARA0N       20200101000115100000005000 0000000030000026   
0601ARA0N       20200101000120100000005000 0000000030000024   
0601ARA0N       20200101000125100000005000 0000000030000024   
0601ARA0N       20200101000130100000005000 0000000030000023   
0601ARA0N       20200101000135100000005000 0000000030000022   
0601ARA0N       20200101000140100000005000 0000000030000021   
0601ARA0N       20200101000145100000005000 0000000030000020   
0601ARA0N       20200101000150100000005000 0000000040000024   
0601ARA0N       20200101000155100000005000 0000000060000035   
0601ARA0N       20200101000160100000005000 0000000090000053   
0601ARA0N       20200101000165100000005000 0000000120000070   
0601ARA0N       20200101000170100000005000 0000000150000086   
0601ARA0N       20200101000175100000005000 0000000200000110   
0601ARA0N       20200101000180100000005000 0000000240000132   
0601ARA0N       20200101000185100000005000 0000000290000154   
0601ARA0N       20200101000190100000005000 0000000330000174   
0601ARA0N       20200101000195100000005000 0000000380000193   
0601ARA0N       20200101000200100000005000 0000000430000211   
0601ARA0N       20200101000205100000005000 0000000480000230   
0601ARA0N       20200101000210100000005000 0000000530000248   
0601ARA0N       20200101000215100000005000 0000000590000269   
0601ARA0N       20200101000220100000005000 0000000640000290   
0601ARA0N       20200101000225100000005000 0000000700000309   
0601ARA0N       20200101000230100000005000 0000000760000328   
0601ARA0N       20200101000235100000005000 0000000820000346   
0601ARA0N       20200101000240100000005000 0000000880000363   
0601ARA0N       20200101000245100000005000 0000000940000379   
0601ARA0N       20200101000250100000005000 0000001000000395   
0601ARA0N       20200101000255100000005000 0000001070000415   
0601ARA0N       20200101000260100000005000 0000001130000429   
0601ARA0N       20200101000265100000005000 0000001190000443   
0601ARA0N       20200101000270100000005000 0000001250000457   
0601ARA0N       20200101000275100000005000 0000001300000470   
0601ARA0N       20200101000280100000005000 0000001360000482   
0601ARA0N       20200101000285100000005000 0000001420000494   
0601ARA0N       20200101000290100000005000 0000001480000506   
0601ARA0N       20200101000295100000005000 0000001540000517   
0601ARA0N       20200101000300100000005000 0000001600000528   
0601ARA0N       20200101000305100000005000 0000001660000539   
0601ARA0N       20200101000310100000005000 0000001720000549   
0601ARA0N       20200101000315100000005000 0000001780000559   
0601ARA0N       20200101000320100000005000 0000001840000569   
0601ARA0N       20200101000325100000005000 0000001910000583   
0601ARA0N       20200101000330100000005000 0000001980000595   
0601ARA0N       20200101000335100000005000 0000002050000608   
0601ARA0N       20200101000340100000005000 0000002120000620   
0601ARA0N       20200101000345100000005000 0000002190000631   
0601ARA0N       20200101000350100000005000 0000002270000643   
0601ARA0N       20200101000355100000005000 0000002340000654   
0601ARA0N       20200101000360100000005000 0000002410000664   
0601ARA0N       20200101000365100000005000 0000002480000675   
0601ARA0N       20200101000370100000005000 0000002550000685   
0601ARA0N       20200101000375100000005000 0000002620000695   
0601ARA0N       20200101000380100000005000 0000002690000704   
0601ARA0N       20200101000385100000005000 0000002770000714   
0601ARA0N       20200101000390100000005000 0000002840000723   
0601ARA0N       20200101000395100000005000 0000002910000732   
0601ARA0N       20200101000400100000005000 0000002980000741   
0601ARA0N       20200101000405100000005000 0000003050000749   
0601ARA0N       20200101000410100000005000 0000003120000757   
0601ARA0N       20200101000415100000005000 0000003200000766   
0601ARA0N       20200101000420100000005000 0000003270000773   
0601ARA0N       20200101000425100000005000 0000003350000784   
0601ARA0N       20200101000430100000005000 0000003430000792   
0601ARA0N       20200101000435100000005000 0000003500000799   
0601ARA0N       20200101000440100000005000 0000003570000807   
0601ARA0N       20200101000445100000005000 0000003640000814   
0601ARA0N       20200101000450100000005000 0000003710000820   
0601ARA0N       20200101000455100000005000 0000003780000827   
0601ARA0N       20200101000460100000005000 0000003860000834   
0601ARA0N       20200101000465100000005000 0000003940000842   
0601ARA0N       20200101000470100000005000 0000004020000851   
0601ARA0N       20200101000475100000005000 0000004110000860   
0601ARA0N       20200101000480100000005000 0000004190000868   
0601ARA0N       20200101000485100000005000 0000004280000877   
0601ARA0N       20200101000490100000005000 0000004360000885   
0601ARA0N       20200101000495100000005000 0000004450000894   
0601ARA0N       20200101000500100000005000 0000004530000902   
0601ARA0N       20200101000505100000005000 0000004620000910   
