00OW               20191119                                                                                   
0601OWA0N       20200101000000100000040000 0000000030000000   
0601OWA0N       20200101000040100000005000 0000000030000071   
0601OWA0N       20200101000045100000005000 0000000030000063   
0601OWA0N       20200101000050100000005000 0000000030000057   
0601OWA0N       20200101000055100000005000 0000000030000052   
0601OWA0N       20200101000060100000005000 0000000030000048   
0601OWA0N       20200101000065100000005000 0000000030000044   
0601OWA0N       20200101000070100000005000 0000000030000041   
0601OWA0N       20200101000075100000005000 0000000030000039   
0601OWA0N       20200101000080100000005000 0000000030000036   
0601OWA0N       20200101000085100000005000 0000000030000034   
0601OWA0N       20200101000090100000005000 0000000030000032   
0601OWA0N       20200101000095100000005000 0000000030000031   
0601OWA0N       20200101000100100000005000 0000000030000029   
0601OWA0N       20200101000105100000005000 0000000030000028   
0601OWA0N       20200101000110100000005000 0000000030000027   
0601OWA0N       20200101000115100000005000 0000000030000026   
0601OWA0N       20200101000120100000005000 0000000030000024   
0601OWA0N       20200101000125100000005000 0000000030000024   
0601OWA0N       20200101000130100000005000 0000000030000023   
0601OWA0N       20200101000135100000005000 0000000030000022   
0601OWA0N       20200101000140100000005000 0000000030000021   
0601OWA0N       20200101000145100000005000 0000000030000020   
0601OWA0N       20200101000150100000005000 0000000030000020   
0601OWA0N       20200101000155100000005000 0000000030000019   
0601OWA0N       20200101000160100000005000 0000000030000018   
0601OWA0N       20200101000165100000005000 0000000030000018   
0601OWA0N       20200101000170100000005000 0000000030000017   
0601OWA0N       20200101000175100000005000 0000000030000017   
0601OWA0N       20200101000180100000005000 0000000030000016   
0601OWA0N       20200101000185100000005000 0000000030000016   
0601OWA0N       20200101000190100000005000 0000000030000016   
0601OWA0N       20200101000195100000005000 0000000030000015   
0601OWA0N       20200101000200100000005000 0000000040000020   
0601OWA0N       20200101000205100000005000 0000000100000048   
0601OWA0N       20200101000210100000005000 0000000160000075   
0601OWA0N       20200101000215100000005000 0000000230000106   
0601OWA0N       20200101000220100000005000 0000000290000130   
0601OWA0N       20200101000225100000005000 0000000370000163   
0601OWA0N       20200101000230100000005000 0000000430000185   
0601OWA0N       20200101000235100000005000 0000000490000206   
0601OWA0N       20200101000240100000005000 0000000560000231   
