00VD               20191128                                                                                   
0601VDA0N       20200101000000100000235000 0000000000000000   
0601VDA0N       20200101000235100000005000 0000000000000019   
0601VDA0N       20200101000240100000005000 0000000000000032   
0601VDA0N       20200101000245100000005000 0000000000000045   
0601VDA0N       20200101000250100000005000 0000000000000059   
0601VDA0N       20200101000255100000005000 0000000000000077   
0601VDA0N       20200101000260100000005000 0000000000000094   
0601VDA0N       20200101000265100000005000 0000000000000119   
0601VDA0N       20200101000270100000005000 0000000000000140   
0601VDA0N       20200101000275100000005000 0000000000000158   
0601VDA0N       20200101000280100000005000 0000000000000181   
0601VDA0N       20200101000285100000005000 0000000000000202   
0601VDA0N       20200101000290100000005000 0000000000000230   
0601VDA0N       20200101000295100000005000 0000000000000252   
0601VDA0N       20200101000300100000005000 0000000000000273   
0601VDA0N       20200101000305100000005000 0000000000000299   
0601VDA0N       20200101000310100000005000 0000000000000329   
0601VDA0N       20200101000315100000005000 0000000000000350   
0601VDA0N       20200101000320100000005000 0000000000000376   
0601VDA0N       20200101000325100000005000 0000000000000399   
0601VDA0N       20200101000330100000005000 0000000000000427   
0601VDA0N       20200101000335100000005000 0000000000000458   
0601VDA0N       20200101000340100000005000 0000000000000479   
0601VDA0N       20200101000345100000005000 0000000000000504   
0601VDA0N       20200101000350100000005000 0000000000000524   
0601VDA0N       20200101000355100000005000 0000000000000552   
0601VDA0N       20200101000360100000005000 0000000000000574   
0601VDA0N       20200101000365100000005000 0000000000000593   
0601VDA0N       20200101000370100000005000 0000000000000615   
0601VDA0N       20200101000375100000005000 0000000000000637   
0601VDA0N       20200101000380100000005000 0000000000000666   
0601VDA0N       20200101000385100000005000 0000000000000689   
0601VDA0N       20200101000390100000005000 0000000000000709   
0601VDA0N       20200101000395100000005000 0000000000000732   
0601VDA0N       20200101000400100000005000 0000000000000751   
0601VDA0N       20200101000405100000005000 0000000000000776   
0601VDA0N       20200101000410100000005000 0000000000000797   
0601VDA0N       20200101000415100000005000 0000000000000814   
0601VDA0N       20200101000420100000005000 0000000000000835   
0601VDA0N       20200101000425100000005000 0000000000000858   
0601VDA0N       20200101000430100000005000 0000000000000874   
0601VDA0N       20200101000435100000005000 0000000000000892   
0601VDA0N       20200101000440100000005000 0000000000000907   
0601VDA0N       20200101000445100000005000 0000000000000926   
0601VDA0N       20200101000450100000005000 0000000000000946   
0601VDA0N       20200101000455100000005000 0000000000000961   
0601VDA0N       20200101000460100000005000 0000000000000977   
0601VDA0N       20200101000465100000005000 0000000000000990   
0601VDA0N       20200101000470100000005000 0000000000001012   
0601VDA0N       20200101000475100000005000 0000000000001032   
0601VDA0N       20200101000480100000005000 0000000000001049   
0601VDA0N       20200101000485100000005000 0000000000001068   
0601VDA0N       20200101000490100000005000 0000000000001084   
0601VDA0N       20200101000495100000005000 0000000000001107   
0601VDA0N       20200101000500100000005000 0000000000001125   
0601VDA0N       20200101000505100000005000 0000000000001141   
0601VDA0N       20200101000510100000005000 0000000000001158   
0601VDA0N       20200101000515100000005000 0000000000001173   
0601VDA0N       20200101000520100000005000 0000000000001194   
0601VDA0N       20200101000525100000005000 0000000000001210   
0601VDA0N       20200101000530100000005000 0000000000001224   
0601VDA0N       20200101000535100000005000 0000000000001237   
0601VDA0N       20200101000540100000005000 0000000000001247   
0601VDA0N       20200101000545100000005000 0000000000001254   
