HistId	Kanton	Bezirksnummer	Bezirksname	BfsId	Gemeindename	DateOfRegistration
13256	ZH	101	Affoltern	1	Aeugst am Albis	15.11.1976
11742	ZH	101	Affoltern	2	Affoltern am Albis	01.01.1960
11801	ZH	101	Affoltern	3	Bonstetten	01.01.1960
11992	ZH	101	Affoltern	4	Hausen am Albis	01.01.1960
12249	ZH	101	Affoltern	5	Hedingen	01.01.1960
12671	ZH	101	Affoltern	6	Kappel am Albis	01.01.1960
12674	ZH	101	Affoltern	7	Knonau	01.01.1960
12738	ZH	101	Affoltern	8	Maschwanden	01.01.1960
12433	ZH	101	Affoltern	9	Mettmenstetten	01.01.1960
12497	ZH	101	Affoltern	10	Obfelden	01.01.1960
13124	ZH	101	Affoltern	11	Ottenbach	01.01.1960
12891	ZH	101	Affoltern	12	Rifferswil	01.01.1960
10575	ZH	101	Affoltern	13	Stallikon	01.01.1960
13255	ZH	101	Affoltern	14	Wettswil am Albis	15.11.1976
11735	ZH	102	Andelfingen	21	Adlikon	01.01.1960
11862	ZH	102	Andelfingen	22	Benken (ZH)	01.01.1960
11855	ZH	102	Andelfingen	23	Berg am Irchel	01.01.1960
15513	ZH	102	Andelfingen	24	Buch am Irchel	01.01.2013
11573	ZH	102	Andelfingen	25	Dachsen	01.01.1960
12182	ZH	102	Andelfingen	26	Dorf	01.01.1960
11973	ZH	102	Andelfingen	27	Feuerthalen	01.01.1960
11997	ZH	102	Andelfingen	28	Flaach	01.01.1960
11935	ZH	102	Andelfingen	29	Flurlingen	01.01.1960
13214	ZH	102	Andelfingen	30	Andelfingen	01.01.1970
12240	ZH	102	Andelfingen	31	Henggart	01.01.1960
12173	ZH	102	Andelfingen	32	Humlikon	01.01.1960
12699	ZH	102	Andelfingen	33	Kleinandelfingen	01.01.1960
12635	ZH	102	Andelfingen	34	Laufen-Uhwiesen	01.01.1960
12742	ZH	102	Andelfingen	35	Marthalen	01.01.1960
13128	ZH	102	Andelfingen	37	Ossingen	01.01.1960
12912	ZH	102	Andelfingen	38	Rheinau	01.01.1960
10563	ZH	102	Andelfingen	39	Thalheim an der Thur	01.01.1960
10898	ZH	102	Andelfingen	40	Trüllikon	01.01.1960
10899	ZH	102	Andelfingen	41	Truttikon	01.01.1960
10365	ZH	102	Andelfingen	43	Volken	01.01.1960
11683	ZH	103	Bülach	51	Bachenbülach	01.01.1960
11685	ZH	103	Bülach	52	Bassersdorf	01.01.1960
11461	ZH	103	Bülach	53	Bülach	01.01.1960
11563	ZH	103	Bülach	54	Dietlikon	01.01.1960
12168	ZH	103	Bülach	55	Eglisau	01.01.1960
12292	ZH	103	Bülach	56	Embrach	01.01.1960
11960	ZH	103	Bülach	57	Freienstein-Teufen	01.01.1960
12056	ZH	103	Bülach	58	Glattfelden	01.01.1960
12166	ZH	103	Bülach	59	Hochfelden	01.01.1960
12220	ZH	103	Bülach	60	Höri	01.01.1960
12178	ZH	103	Bülach	61	Hüntwangen	01.01.1960
12673	ZH	103	Bülach	62	Kloten	01.01.1960
12720	ZH	103	Bülach	63	Lufingen	01.01.1960
12547	ZH	103	Bülach	64	Nürensdorf	01.01.1960
12524	ZH	103	Bülach	65	Oberembrach	01.01.1960
12483	ZH	103	Bülach	66	Opfikon	01.01.1960
13090	ZH	103	Bülach	67	Rafz	01.01.1960
12919	ZH	103	Bülach	68	Rorbas	01.01.1960
10451	ZH	103	Bülach	69	Wallisellen	01.01.1960
10443	ZH	103	Bülach	70	Wasterkingen	01.01.1960
10268	ZH	103	Bülach	71	Wil (ZH)	01.01.1960
10331	ZH	103	Bülach	72	Winkel	01.01.1960
11704	ZH	104	Dielsdorf	81	Bachs	01.01.1960
11786	ZH	104	Dielsdorf	82	Boppelsen	01.01.1960
11456	ZH	104	Dielsdorf	83	Buchs (ZH)	01.01.1960
11578	ZH	104	Dielsdorf	84	Dällikon	01.01.1960
11581	ZH	104	Dielsdorf	85	Dänikon	01.01.1960
11567	ZH	104	Dielsdorf	86	Dielsdorf	01.01.1960
12181	ZH	104	Dielsdorf	87	Hüttikon	01.01.1960
12537	ZH	104	Dielsdorf	88	Neerach	01.01.1960
12534	ZH	104	Dielsdorf	89	Niederglatt	01.01.1960
12560	ZH	104	Dielsdorf	90	Niederhasli	01.01.1960
12568	ZH	104	Dielsdorf	91	Niederweningen	01.01.1960
12469	ZH	104	Dielsdorf	92	Oberglatt	01.01.1960
12447	ZH	104	Dielsdorf	93	Oberweningen	01.01.1960
13126	ZH	104	Dielsdorf	94	Otelfingen	01.01.1960
13166	ZH	104	Dielsdorf	95	Regensberg	01.01.1960
13168	ZH	104	Dielsdorf	96	Regensdorf	01.01.1960
12834	ZH	104	Dielsdorf	97	Rümlang	01.01.1960
13046	ZH	104	Dielsdorf	98	Schleinikon	01.01.1960
13037	ZH	104	Dielsdorf	99	Schöfflisdorf	01.01.1960
10383	ZH	104	Dielsdorf	100	Stadel	01.01.1960
10597	ZH	104	Dielsdorf	101	Steinmaur	01.01.1960
10448	ZH	104	Dielsdorf	102	Weiach	01.01.1960
11709	ZH	105	Hinwil	111	Bäretswil	01.01.1960
11478	ZH	105	Hinwil	112	Bubikon	01.01.1960
12159	ZH	105	Hinwil	113	Dürnten	01.01.1960
12002	ZH	105	Hinwil	114	Fischenthal	01.01.1960
12023	ZH	105	Hinwil	115	Gossau (ZH)	01.01.1960
11970	ZH	105	Hinwil	116	Grüningen	01.01.1960
12156	ZH	105	Hinwil	117	Hinwil	01.01.1960
12883	ZH	105	Hinwil	118	Rüti (ZH)	01.01.1960
12951	ZH	105	Hinwil	119	Seegräben	01.01.1960
10459	ZH	105	Hinwil	120	Wald (ZH)	01.01.1960
10277	ZH	105	Hinwil	121	Wetzikon (ZH)	01.01.1960
11745	ZH	106	Horgen	131	Adliswil	01.01.1960
12701	ZH	106	Horgen	135	Kilchberg (ZH)	01.01.1960
12637	ZH	106	Horgen	136	Langnau am Albis	01.01.1960
12461	ZH	106	Horgen	137	Oberrieden	01.01.1960
12907	ZH	106	Horgen	138	Richterswil	01.01.1960
12832	ZH	106	Horgen	139	Rüschlikon	01.01.1960
10691	ZH	106	Horgen	141	Thalwil	01.01.1960
12301	ZH	107	Meilen	151	Erlenbach (ZH)	01.01.1960
12316	ZH	107	Meilen	152	Herrliberg	01.01.1960
12143	ZH	107	Meilen	153	Hombrechtikon	01.01.1960
12592	ZH	107	Meilen	154	Küsnacht (ZH)	01.01.1960
12754	ZH	107	Meilen	155	Männedorf	01.01.1960
12408	ZH	107	Meilen	156	Meilen	01.01.1960
12501	ZH	107	Meilen	157	Oetwil am See	01.01.1960
10363	ZH	107	Meilen	158	Stäfa	01.01.1960
13259	ZH	107	Meilen	159	Uetikon am See	10.03.1977
10326	ZH	107	Meilen	160	Zumikon	01.01.1960
13683	ZH	107	Meilen	161	Zollikon	01.01.1986
11989	ZH	108	Pfäffikon	172	Fehraltorf	01.01.1960
12161	ZH	108	Pfäffikon	173	Hittnau	01.01.1960
12821	ZH	108	Pfäffikon	176	Lindau	01.01.1960
13137	ZH	108	Pfäffikon	177	Pfäffikon	01.01.1960
12831	ZH	108	Pfäffikon	178	Russikon	01.01.1960
10389	ZH	108	Pfäffikon	180	Weisslingen	01.01.1960
10242	ZH	108	Pfäffikon	181	Wila	01.01.1960
10334	ZH	108	Pfäffikon	182	Wildberg	01.01.1960
