Jahr;Kanton;Steuertyp;Tariftyp;Einkommen;Steuer;Steuerinkrement;Einkommensinkrement
2018;ZH;1;1;6700;0;2;100
2018;ZH;1;1;11400;94;3;100
2018;ZH;1;1;16100;235;4;100
2018;ZH;1;1;23700;539;5;100
2018;ZH;1;1;33000;1004;6;100
2018;ZH;1;1;43700;1646;7;100
2018;ZH;1;1;56100;2514;8;100
2018;ZH;1;1;73000;3866;9;100
2018;ZH;1;1;105500;6791;10;100
2018;ZH;1;1;137700;10011;11;100
2018;ZH;1;1;188700;15621;12;100
2018;ZH;1;1;254900;23565;13;100
2018;ZH;1;2;13500;0;2;100
2018;ZH;1;2;19600;122;3;100
2018;ZH;1;2;27300;353;4;100
2018;ZH;1;2;36700;729;5;100
2018;ZH;1;2;47400;1264;6;100
2018;ZH;1;2;61300;2098;7;100
2018;ZH;1;2;92100;4254;8;100
2018;ZH;1;2;122900;6718;9;100
2018;ZH;1;2;169300;10894;10;100
2018;ZH;1;2;224700;16434;11;100
2018;ZH;1;2;284800;23045;12;100
2018;ZH;1;2;354100;31361;13;100
