BfsId;Kanton;Jahr;Gemeindename;SteuerfussKanton;SteuerfussGemeinde;KircheRef;KircheRoemischKatholisch;KircheChristKatholisch;JuristPerson
1;ZH;2019;Aeugst a.A.;100;95;13;13;14;108.00
2;ZH;2019;Affoltern a.A.;100;124;13;13;14;137.00
3;ZH;2019;Bonstetten;100;109;13;11;14;121.14
4;ZH;2019;Hausen a.A.;100;112;14;15;14;126.44
5;ZH;2019;Hedingen;100;105;12;13;14;117.38
6;ZH;2019;Kappel a.A.;100;102;14;15;14;116.38
7;ZH;2019;Knonau;100;110;14;15;14;124.50
8;ZH;2019;Maschwanden;100;130;14;15;14;144.35
9;ZH;2019;Mettmenstetten;100;100;12;15;14;113.26
10;ZH;2019;Obfelden;100;121;12;13;14;133.48
11;ZH;2019;Ottenbach;100;117;14;13;14;130.59
12;ZH;2019;Rifferswil;100;128;14;15;14;142.30
13;ZH;2019;Stallikon;100;101;8;11;14;110.32
14;ZH;2019;Wettswil a.A.;100;88;8;11;14;97.32
21;ZH;2019;Adlikon;100;130;12;14;14;142.36
22;ZH;2019;Benken;100;118;14;14;14;132.00
23;ZH;2019;Berg a.I.;100;98;12;13;14;110.14
24;ZH;2019;Buch a.I.;100;106;12;13;14;118.19
25;ZH;2019;Dachsen;100;109;12;14;14;121.62
26;ZH;2019;Dorf;100;109;14;13;14;122.75
27;ZH;2019;Feuerthalen;100;114;14;14;14;128.00
28;ZH;2019;Flaach;100;107;12;13;14;119.26
29;ZH;2019;Flurlingen;100;112;12;14;14;124.62
30;ZH;2019;Andelfingen;100;112;12;14;14;124.54
31;ZH;2019;Henggart;100;104;12;13;14;116.26
32;ZH;2019;Humlikon;100;123;12;14;14;135.40
33;ZH;2019;Kleinandelfingen;100;110;12;14;14;122.54
34;ZH;2019;Laufen-Uhwiesen;100;106;12;14;14;118.58
35;ZH;2019;Marthalen;100;113;14;14;14;127.00
37;ZH;2019;Ossingen;100;104;14;14;14;118.00
38;ZH;2019;Rheinau;100;126;14;14;14;140.00
39;ZH;2019;Thalheim a.d.Th.;100;105;14;13;14;118.77
40;ZH;2019;Trüllikon;100;114;14;14;14;128.00
41;ZH;2019;Truttikon;100;124;14;14;14;138.00
43;ZH;2019;Volken;100;111;12;13;14;123.20
51;ZH;2019;Bachenbülach;100;106;10;11;14;116.47
52;ZH;2019;Bassersdorf;100;109;12;9;14;119.59
53;ZH;2019;Bülach;100;110;10;11;14;120.46
54;ZH;2019;Dietlikon;100;92;11;8;14;101.53
55;ZH;2019;Eglisau;100;113;14;13;14;126.63
56;ZH;2019;Embrach;100;118;12;13;14;130.45
57;ZH;2019;Freienstein-Teufen;100;99;14;13;14;112.68
58;ZH;2019;Glattfelden;100;115;14;13;14;128.59
59;ZH;2019;Hochfelden;100;116;10;11;14;126.39
60;ZH;2019;Höri;100;117;10;11;14;127.54
61;ZH;2019;Hüntwangen;100;104;14;13;14;117.70
62;ZH;2019;Kloten;100;103;10;9;14;112.45
63;ZH;2019;Lufingen;100;89;14;13;14;102.54
64;ZH;2019;Nürensdorf;100;90;12;9;14;100.86
65;ZH;2019;Oberembrach;100;117;12;13;14;129.24
66;ZH;2019;Opfikon;100;94;8;7;14;101.37
67;ZH;2019;Rafz;100;113;14;13;14;126.65
68;ZH;2019;Rorbas;100;103;14;13;14;116.56
69;ZH;2019;Wallisellen;100;97;8;8;14;105.00
70;ZH;2019;Wasterkingen;100;116;14;13;14;129.75
71;ZH;2019;Wil;100;106;14;13;14;119.79
72;ZH;2019;Winkel;100;76;10;11;14;86.40
81;ZH;2019;Bachs;100;127;14;11;14;140.28
82;ZH;2019;Boppelsen;100;91;13;10;14;103.01
83;ZH;2019;Buchs;100;111;11;10;14;121.52
