Kanton,Jahr,Gemeinde,Kanton,Gemeinde,ref. Kirchgemeinde,kath. Kirchgemeinde
TG,2011,Aadorf,117.00,151.0000,20.0000,19.0000
TG,2012,Aadorf,117.00,151.0000,20.0000,19.0000
TG,2013,Aadorf,117.00,153.0000,20.0000,19.0000
TG,2014,Aadorf,117.00,153.0000,20.0000,19.0000
TG,2015,Aadorf,117.00,153.0000,19.0000,19.0000
TG,2016,Aadorf,117.00,153.0000,19.0000,19.0000
TG,2017,Aadorf,117.00,153.0000,19.0000,19.0000
AG,2011,Aarau,109.00,94.0000,15.0000,19.0000
AG,2012,Aarau,109.00,94.0000,15.0000,19.0000
AG,2013,Aarau,109.00,94.0000,15.0000,19.0000
AG,2014,Aarau,109.00,94.0000,15.0000,19.0000
AG,2015,Aarau,109.00,94.0000,15.0000,18.0000
AG,2016,Aarau,109.00,97.0000,15.0000,18.0000
AG,2017,Aarau,109.00,97.0000,15.0000,18.0000
BE,2011,Aarberg,3.06,1.6000,0.1610,0.2185
BE,2012,Aarberg,3.06,1.6400,0.1610,0.2185
BE,2013,Aarberg,3.06,1.6400,0.1610,0.2185
BE,2014,Aarberg,3.06,1.6400,0.1610,0.2185
BE,2015,Aarberg,3.06,1.6400,0.1610,0.2185
BE,2016,Aarberg,3.06,1.6400,0.1610,0.2185
BE,2017,Aarberg,3.06,1.6000,0.1610,0.2185
AG,2011,Aarburg,109.00,119.0000,25.0000,18.0000
AG,2012,Aarburg,109.00,124.0000,25.0000,18.0000
AG,2013,Aarburg,109.00,124.0000,25.0000,18.0000
AG,2014,Aarburg,109.00,124.0000,25.0000,18.0000
AG,2015,Aarburg,109.00,124.0000,25.0000,18.0000
AG,2016,Aarburg,109.00,124.0000,25.0000,19.0000
AG,2017,Aarburg,109.00,124.0000,25.0000,19.0000
BE,2011,Aarwangen,3.06,1.2900,0.1840,0.2300
BE,2012,Aarwangen,3.06,1.4100,0.1840,0.2300
BE,2013,Aarwangen,3.06,1.4100,0.1840,0.2300
BE,2014,Aarwangen,3.06,1.5000,0.1840,0.2300
BE,2015,Aarwangen,3.06,1.5700,0.1840,0.2300
BE,2016,Aarwangen,3.06,1.5700,0.1840,0.2200
BE,2017,Aarwangen,3.06,1.5700,0.1840,0.2200
AG,2011,Abtwil,109.00,112.0000,17.0000,22.0000
